crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,DS_Division,Avg_Household_Income,Unemployment_Rate,Building_Density,Road_Density,Land_Area_Density
burglary,train station,4/8/2020,m,sinhala,46,13:36:00,Rainy,7.291741184,80.63218394,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,239.8,sinhala,Gangawata Korale,116413,4.55,882.5,22,19.67
robbery,galkaduwa junction,4/9/2020,m,sinhala,20,15:55:00,Rainy,7.309413426,80.6394094,Non-Holiday,0,Commercial,Watapuluwa West,LK2130060,21493,231.6,sinhala,Gangawata Korale,113736,4.5,992.2,22.9,14.04
burglary,sri wickramasinghe mawatha,4/10/2020,m,sinhala,44,5:05:00,Rainy,7.28859959,80.6424832,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,599.1,sinhala,Gangawata Korale,109747,4.71,618.5,17.1,14.59
stabbing,goerge.e.silva lane,4/13/2020,m,sinhala,37,21:44:00,Rainy,7.291310466,80.63565124,Sinhala and Tamil New Year,1,General Urban,Bogambara,LK2130145,2198,511,sinhala,Gangawata Korale,108844,4.28,886.3,20,20.2
burglary,hanthane,4/14/2020,m,muslim,31,6:39:00,Rainy,7.266176374,80.63645694,Non-Holiday,0,General Urban,Hanthana Pedesa,LK2130220,5949,831.4,muslim,Gangawata Korale,112511,4.44,43.4,4.7,0.65
robbery,peradeniya road,4/16/2020,m,sinhala,45,4:49:00,Rainy,7.280016905,80.62060626,Non-Holiday,0,General Urban,Suduhumpala West,LK2130165,18808,246.1,sinhala,Gangawata Korale,116553,4.7,807.3,26.3,16.94
burglary,william gopallawa lane,4/17/2020,m,sinhala,33,22:16:00,Rainy,7.291732048,80.63231502,Non-Holiday,0,General Urban,Ihala Katukele,LK2130115,6925,251,sinhala,Gangawata Korale,125140,4.7,868.5,22.4,19.77
burglary,common market complex,4/20/2020,f,sinhala,68,15:59:00,Rainy,7.291603602,80.6361813,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,533.4,sinhala,Gangawata Korale,123051,4.47,844.2,19.5,19.89
vehicle theft,mada bowala angampitiya,4/25/2020,m,sinhala,42,22:02:00,Rainy,7.273240028,80.61147666,Non-Holiday,0,General Urban,Bowala,LK2130205,2430,268.8,sinhala,Gangawata Korale,124203,4.7,830.2,24.6,17.31
drugs,yatinuwara street,4/26/2020,m,sinhala,58,11:29:00,Rainy,7.29629998,80.63391942,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,249.2,sinhala,Gangawata Korale,118753,4.58,1082.7,20.2,20.93
